CMDLINE python3 test/xmr4el/test_train_pipeline.py
MEM 3781.968750 1760698689.4361
MEM 2493.433594 1760698689.5370
MEM 3625.785156 1760698689.6383
MEM 4450.031250 1760698689.7392
MEM 3763.890625 1760698689.8400
MEM 2285.644531 1760698689.9420
MEM 3193.019531 1760698690.0430
MEM 4160.406250 1760698690.1443
MEM 3665.828125 1760698690.2452
MEM 2612.996094 1760698690.3461
MEM 3236.167969 1760698690.4471
MEM 4375.222656 1760698690.5481
MEM 4444.367188 1760698690.6492
MEM 2236.976562 1760698690.7511
MEM 3095.976562 1760698690.8522
MEM 4243.406250 1760698690.9531
MEM 4016.765625 1760698691.0560
MEM 2985.699219 1760698691.1576
MEM 2318.550781 1760698691.2586
MEM 3312.386719 1760698691.3604
MEM 4104.613281 1760698691.4612
MEM 3403.222656 1760698691.5661
MEM 2604.906250 1760698691.6670
MEM 3297.976562 1760698691.7682
MEM 4538.250000 1760698691.8696
MEM 4215.433594 1760698691.9701
MEM 2430.250000 1760698692.0734
MEM 2984.968750 1760698692.1740
MEM 4200.371094 1760698692.2751
MEM 3855.886719 1760698692.3763
MEM 2605.050781 1760698692.4773
MEM 3048.714844 1760698692.5780
MEM 3852.710938 1760698692.6798
MEM 4098.062500 1760698692.7813
MEM 3666.906250 1760698692.8833
MEM 2674.355469 1760698692.9840
MEM 3664.902344 1760698693.0883
MEM 4081.058594 1760698693.1891
MEM 3157.437500 1760698693.2901
MEM 2476.011719 1760698693.3913
MEM 3655.675781 1760698693.4921
MEM 3947.613281 1760698693.5932
MEM 2903.695312 1760698693.6939
MEM 2916.117188 1760698693.7954
MEM 4211.203125 1760698693.8962
MEM 3816.386719 1760698693.9971
MEM 2113.554688 1760698694.0990
MEM 2984.035156 1760698694.2000
MEM 3804.328125 1760698694.3010
MEM 3779.550781 1760698694.4021
MEM 2496.339844 1760698694.5051
MEM 3559.101562 1760698694.6061
MEM 3963.414062 1760698694.7071
MEM 3645.667969 1760698694.8082
MEM 2620.210938 1760698694.9092
MEM 3128.257812 1760698695.0145
MEM 3553.441406 1760698695.1150
MEM 3258.542969 1760698695.2159
MEM 2673.230469 1760698695.3170
MEM 3492.578125 1760698695.4181
MEM 3596.265625 1760698695.5193
MEM 2959.035156 1760698695.6200
MEM 2734.175781 1760698695.7211
MEM 3766.042969 1760698695.8253
MEM 3721.449219 1760698695.9260
MEM 3052.757812 1760698696.0271
MEM 3175.367188 1760698696.1280
MEM 3459.074219 1760698696.2290
MEM 3356.121094 1760698696.3302
MEM 3360.109375 1760698696.4310
MEM 2843.773438 1760698696.5323
MEM 3741.488281 1760698696.6329
MEM 3727.351562 1760698696.7340
MEM 2560.210938 1760698696.8351
MEM 3211.136719 1760698696.9360
MEM 3550.261719 1760698697.0372
MEM 3452.261719 1760698697.1380
MEM 2717.781250 1760698697.2392
MEM 1609.027344 1760698697.3399
MEM 1609.027344 1760698697.4416
MEM 1609.027344 1760698697.5423
MEM 1698.574219 1760698697.6449
MEM 1729.996094 1760698697.7458
MEM 1675.703125 1760698697.8472
MEM 1792.613281 1760698697.9508
MEM 1792.613281 1760698698.0519
MEM 1791.000000 1760698698.1528
MEM 1790.433594 1760698698.2539
MEM 1790.003906 1760698698.3549
MEM 1789.570312 1760698698.4558
MEM 1787.894531 1760698698.5568
MEM 1787.769531 1760698698.6578
MEM 1786.914062 1760698698.7588
MEM 1786.914062 1760698698.8598
MEM 1786.914062 1760698698.9609
MEM 1771.980469 1760698699.0619
MEM 1771.980469 1760698699.1629
MEM 1771.980469 1760698699.2639
MEM 1771.980469 1760698699.3649
MEM 1771.980469 1760698699.4663
MEM 1771.980469 1760698699.5675
MEM 1771.980469 1760698699.6678
MEM 1771.980469 1760698699.7699
MEM 1771.980469 1760698699.8708
MEM 1771.265625 1760698699.9726
MEM 1771.265625 1760698700.0756
MEM 1771.265625 1760698700.1773
MEM 1771.265625 1760698700.2786
MEM 1771.265625 1760698700.3788
MEM 1771.265625 1760698700.4816
MEM 1771.265625 1760698700.5869
MEM 1771.265625 1760698700.6919
MEM 1665.507812 1760698700.7929
MEM 2146.835938 1760698700.8974
MEM 2683.679688 1760698700.9981
MEM 3713.132812 1760698701.0992
MEM 5193.281250 1760698701.2006
MEM 5448.824219 1760698701.3018
MEM 4346.214844 1760698701.4049
MEM 2656.828125 1760698701.5060
MEM 3454.531250 1760698701.6071
MEM 5155.488281 1760698701.7083
MEM 4787.324219 1760698701.8121
MEM 1998.828125 1760698701.9131
MEM 2821.339844 1760698702.0143
MEM 3561.589844 1760698702.1154
MEM 4602.023438 1760698702.2161
MEM 4265.394531 1760698702.3171
MEM 3046.269531 1760698702.4180
MEM 3410.117188 1760698702.5194
MEM 4218.207031 1760698702.6213
MEM 4683.058594 1760698702.7240
MEM 3862.226562 1760698702.8250
MEM 2917.738281 1760698702.9261
MEM 3921.648438 1760698703.0275
MEM 4692.632812 1760698703.1282
MEM 4571.707031 1760698703.2291
MEM 2790.578125 1760698703.3332
MEM 3445.949219 1760698703.4343
MEM 3990.675781 1760698703.5352
MEM 4187.074219 1760698703.6360
MEM 3930.656250 1760698703.7370
MEM 3149.980469 1760698703.8400
MEM 4218.222656 1760698703.9411
MEM 4270.304688 1760698704.0421
MEM 4064.460938 1760698704.1431
MEM 2783.125000 1760698704.2440
MEM 3310.011719 1760698704.3449
MEM 4122.660156 1760698704.4462
MEM 4106.410156 1760698704.5481
MEM 3985.472656 1760698704.6495
MEM 3702.078125 1760698704.7502
MEM 3749.429688 1760698704.8541
MEM 4337.824219 1760698704.9551
MEM 4028.632812 1760698705.0560
MEM 3428.894531 1760698705.1571
MEM 3766.097656 1760698705.2582
MEM 4054.824219 1760698705.3592
MEM 4059.492188 1760698705.4601
MEM 2799.445312 1760698705.5621
MEM 3324.976562 1760698705.6630
MEM 4158.976562 1760698705.7641
MEM 4653.550781 1760698705.8681
MEM 3989.101562 1760698705.9692
MEM 2879.804688 1760698706.0701
MEM 4019.878906 1760698706.1712
MEM 4654.613281 1760698706.2722
MEM 1932.292969 1760698706.3739
MEM 2048.242188 1760698706.4752
MEM 3547.363281 1760698706.5773
MEM 5331.867188 1760698706.6819
MEM 4893.738281 1760698706.7834
MEM 4523.738281 1760698706.8840
MEM 2365.417969 1760698706.9850
MEM 3739.890625 1760698707.0869
MEM 4741.070312 1760698707.1883
MEM 5089.578125 1760698707.2892
MEM 2514.984375 1760698707.3902
MEM 3065.425781 1760698707.4920
MEM 4169.902344 1760698707.5932
MEM 4255.593750 1760698707.6941
MEM 4450.792969 1760698707.7949
MEM 3000.300781 1760698707.8963
MEM 3536.082031 1760698708.0012
MEM 4531.417969 1760698708.1020
MEM 4796.468750 1760698708.2054
MEM 3239.804688 1760698708.3062
MEM 3020.457031 1760698708.4070
MEM 3986.472656 1760698708.5084
MEM 4874.054688 1760698708.6092
MEM 4659.515625 1760698708.7100
MEM 3333.277344 1760698708.8111
MEM 3802.531250 1760698708.9142
MEM 4544.425781 1760698709.0150
MEM 4737.398438 1760698709.1163
MEM 3418.382812 1760698709.2171
MEM 3224.742188 1760698709.3182
MEM 4517.140625 1760698709.4233
MEM 4946.500000 1760698709.5242
MEM 3610.863281 1760698709.6249
MEM 3021.632812 1760698709.7267
MEM 4089.632812 1760698709.8271
MEM 4815.394531 1760698709.9281
MEM 4548.816406 1760698710.0302
MEM 2815.035156 1760698710.1310
MEM 3484.441406 1760698710.2321
MEM 4503.175781 1760698710.3330
MEM 4606.851562 1760698710.4340
MEM 2921.125000 1760698710.5352
MEM 3140.722656 1760698710.6361
MEM 4394.523438 1760698710.7391
MEM 4917.074219 1760698710.8402
MEM 3564.007812 1760698710.9409
MEM 2777.105469 1760698711.0420
MEM 3909.863281 1760698711.1430
MEM 5180.769531 1760698711.2441
MEM 4676.117188 1760698711.3453
MEM 2816.851562 1760698711.4462
MEM 3776.683594 1760698711.5490
MEM 4283.289062 1760698711.6500
MEM 4064.218750 1760698711.7512
MEM 2206.847656 1760698711.8522
MEM 3276.042969 1760698711.9531
MEM 4885.222656 1760698712.0553
MEM 5213.308594 1760698712.1562
MEM 4524.136719 1760698712.2580
MEM 2365.500000 1760698712.3592
MEM 3668.558594 1760698712.4604
MEM 5188.210938 1760698712.5640
MEM 4934.210938 1760698712.6651
MEM 2213.054688 1760698712.7666
MEM 3206.964844 1760698712.8670
MEM 4332.460938 1760698712.9680
MEM 4596.773438 1760698713.0693
MEM 4311.011719 1760698713.1736
MEM 3318.761719 1760698713.2761
MEM 3828.996094 1760698713.3776
MEM 4497.171875 1760698713.4780
MEM 4758.101562 1760698713.5790
MEM 3563.320312 1760698713.6801
MEM 3423.500000 1760698713.7889
MEM 4563.242188 1760698713.8901
MEM 4711.410156 1760698713.9911
MEM 3677.003906 1760698714.0920
MEM 2880.726562 1760698714.1931
MEM 3592.195312 1760698714.2941
MEM 4197.257812 1760698714.3951
MEM 4239.988281 1760698714.4990
MEM 3665.296875 1760698714.6003
MEM 3932.964844 1760698714.7010
MEM 4395.718750 1760698714.8022
MEM 4344.105469 1760698714.9032
MEM 3811.789062 1760698715.0044
MEM 3227.281250 1760698715.1056
MEM 3743.433594 1760698715.2092
MEM 4407.738281 1760698715.3102
MEM 4265.679688 1760698715.4111
MEM 3294.789062 1760698715.5119
MEM 3506.347656 1760698715.6129
MEM 4027.289062 1760698715.7140
MEM 4503.765625 1760698715.8154
MEM 3762.500000 1760698715.9171
MEM 3678.738281 1760698716.0221
MEM 3985.085938 1760698716.1231
MEM 4039.000000 1760698716.2240
MEM 3192.136719 1760698716.3250
MEM 3487.789062 1760698716.4261
MEM 4279.976562 1760698716.5270
MEM 4090.773438 1760698716.6279
MEM 4198.746094 1760698716.7290
MEM 3488.554688 1760698716.8300
MEM 3817.824219 1760698716.9311
MEM 4024.328125 1760698717.0320
MEM 2538.308594 1760698717.1328
MEM 1708.890625 1760698717.2338
MEM 1708.890625 1760698717.3348
MEM 2372.011719 1760698717.4358
MEM 1888.433594 1760698717.5369
MEM 1897.074219 1760698717.6378
MEM 1965.242188 1760698717.7402
MEM 1964.402344 1760698717.8411
MEM 1963.042969 1760698717.9419
MEM 1962.574219 1760698718.0428
MEM 1962.015625 1760698718.1438
MEM 1960.585938 1760698718.2448
MEM 1959.824219 1760698718.3461
MEM 1959.386719 1760698718.4468
MEM 1959.386719 1760698718.5495
MEM 1959.386719 1760698718.6498
MEM 1944.468750 1760698718.7510
MEM 1944.468750 1760698718.8518
MEM 1944.468750 1760698718.9528
MEM 1944.468750 1760698719.0538
MEM 1944.468750 1760698719.1555
MEM 1944.468750 1760698719.2580
MEM 1944.468750 1760698719.3588
MEM 1944.468750 1760698719.4610
MEM 1944.468750 1760698719.5627
MEM 1943.707031 1760698719.6655
MEM 1943.707031 1760698719.7658
MEM 1943.707031 1760698719.8718
MEM 1943.707031 1760698719.9777
MEM 1943.707031 1760698720.0822
MEM 1943.832031 1760698720.1878
MEM 1943.832031 1760698720.2938
MEM 1943.832031 1760698720.3997
MEM 1943.832031 1760698720.5058
MEM 1880.082031 1760698720.6118
MEM 2462.921875 1760698720.7130
MEM 3417.164062 1760698720.8162
MEM 4550.824219 1760698720.9176
MEM 4623.523438 1760698721.0187
MEM 2190.238281 1760698721.1239
MEM 3250.105469 1760698721.2249
MEM 4559.437500 1760698721.3260
MEM 4498.019531 1760698721.4272
MEM 2672.664062 1760698721.5279
MEM 3363.328125 1760698721.6291
MEM 4502.898438 1760698721.7300
MEM 4673.027344 1760698721.8311
MEM 3300.937500 1760698721.9320
MEM 3146.132812 1760698722.0409
MEM 4423.531250 1760698722.1425
MEM 4305.984375 1760698722.2461
MEM 3460.937500 1760698722.3468
MEM 3334.882812 1760698722.4481
MEM 4462.015625 1760698722.5490
MEM 4371.980469 1760698722.6501
MEM 3395.765625 1760698722.7511
MEM 3146.355469 1760698722.8520
MEM 4214.562500 1760698722.9536
MEM 4908.460938 1760698723.0539
MEM 3282.253906 1760698723.1559
MEM 3185.062500 1760698723.2571
MEM 4270.582031 1760698723.3581
MEM 4824.726562 1760698723.4619
MEM 3056.835938 1760698723.5630
MEM 3267.281250 1760698723.6640
MEM 4503.988281 1760698723.7659
MEM 4958.152344 1760698723.8669
MEM 3743.894531 1760698723.9680
MEM 2953.523438 1760698724.0691
MEM 4096.160156 1760698724.1700
MEM 4745.777344 1760698724.2710
MEM 3689.742188 1760698724.3740
MEM 3119.871094 1760698724.4749
MEM 3856.898438 1760698724.5763
MEM 4790.015625 1760698724.6771
MEM 3950.199219 1760698724.7779
MEM 3030.566406 1760698724.8790
MEM 3772.921875 1760698724.9799
MEM 4405.421875 1760698725.0810
MEM 4310.550781 1760698725.1819
MEM 3287.226562 1760698725.2830
MEM 3450.285156 1760698725.3840
